,Ping (ms),Download (Mbit/s),Upload (Mbit/s),Date,Time
0,9.416,80.21,205.95,2021-03-25,18:42:29
1,7.949,85.32,219.97,2021-03-25,18:42:47
2,8.192,89.64,213.21,2021-03-25,18:43:05
3,9.408,549.64,175.84,2021-03-25,18:43:24
4,9.58,543.48,217.32,2021-03-25,18:43:39
5,6.355,90.98,226.25,2021-03-25,18:43:53
6,9.021,549.52,228.63,2021-03-25,18:44:11
7,9.64,482.89,194.22,2021-03-25,18:44:24
8,7.541,83.48,190.61,2021-03-25,18:44:39
9,8.115,78.63,223.81,2021-03-25,18:44:58
10,6.978,548.42,226.92,2021-03-25,18:45:16
11,6.343,521.05,205.73,2021-03-25,18:45:30
12,8.69,72.6,205.44,2021-03-25,18:45:44
13,8.611,68.15,219.87,2021-03-25,18:46:03
14,9.393,81.3,225.85,2021-03-25,18:46:21
15,9.561,506.86,188.14,2021-03-25,18:46:38
16,8.971,545.26,211.23,2021-03-25,18:46:54
17,9.77,82.47,203.78,2021-03-25,18:47:08
18,9.658,556.74,190.24,2021-03-25,18:47:26
19,7.222,72.33,207.01,2021-03-25,18:47:41
20,6.522,61.47,213.25,2021-03-25,18:47:59
21,8.753,554.06,222.35,2021-03-25,18:48:18
22,7.548,78.9,230.57,2021-03-25,18:48:31
23,8.919,501.91,180.2,2021-03-25,18:48:49
24,6.353,76.67,218.55,2021-03-25,18:49:05
25,6.117,504.61,235.9,2021-03-25,18:49:23
26,8.294,574.18,164.0,2021-03-25,18:49:37
27,9.2,83.63,199.55,2021-03-25,18:49:52
28,9.077,87.66,207.02,2021-03-25,18:50:10
29,9.532,485.02,219.41,2021-03-25,18:50:29
30,6.368,492.95,219.6,2021-03-25,18:50:44
31,10.455,77.87,129.68,2021-03-25,18:50:58
32,9.45,514.53,191.98,2021-03-25,18:51:21
33,8.477,548.32,196.02,2021-03-25,18:51:36
34,10.408,90.17,209.65,2021-03-25,18:51:50
35,8.629,77.29,203.17,2021-03-25,18:52:08
36,7.013,66.19,198.66,2021-03-25,18:52:27
37,8.692,84.76,226.86,2021-03-25,18:52:46
38,10.426,92.12,223.07,2021-03-25,18:53:04
39,10.234,547.15,227.13,2021-03-25,18:53:22
40,8.302,86.28,213.3,2021-03-25,18:53:35
41,6.333,84.65,187.49,2021-03-25,18:53:53
42,9.417,70.7,192.62,2021-03-25,18:54:12
43,7.424,79.62,215.65,2021-03-25,18:54:31
44,5.598,84.76,209.99,2021-03-25,18:54:49
45,11.682,80.62,210.15,2021-03-25,18:55:08
46,9.213,78.92,229.05,2021-03-25,18:55:26
47,10.156,81.94,134.39,2021-03-25,18:55:44
48,9.465,481.31,228.68,2021-03-25,18:56:06
49,6.153,508.13,194.19,2021-03-25,18:56:20
50,9.383,82.72,199.08,2021-03-25,18:56:35
51,10.405,82.73,208.39,2021-03-25,18:56:54
52,9.308,521.28,226.88,2021-03-25,18:57:12
53,7.266,536.6,192.01,2021-03-25,18:57:26
54,6.936,89.71,220.47,2021-03-25,18:57:41
55,9.485,551.22,196.23,2021-03-25,18:57:59
56,8.731,76.63,197.94,2021-03-25,18:58:13
57,6.44,69.34,228.29,2021-03-25,18:58:32
58,9.375,552.7,214.37,2021-03-25,18:58:50
59,8.743,534.03,223.06,2021-03-25,18:59:03
60,8.583,73.46,204.75,2021-03-25,18:59:17
61,8.93,73.25,208.63,2021-03-25,18:59:36
62,8.743,75.92,68.4,2021-03-25,18:59:54
63,10.026,477.34,163.45,2021-03-25,19:00:18
64,9.301,499.43,231.41,2021-03-25,19:00:34
65,9.97,82.57,191.47,2021-03-25,19:00:48
66,8.804,81.62,200.41,2021-03-25,19:01:07
67,6.462,83.79,217.37,2021-03-25,19:01:26
68,7.958,526.57,214.64,2021-03-25,19:01:44
69,7.867,79.19,201.56,2021-03-25,19:01:58
70,9.077,526.11,204.15,2021-03-25,19:02:17
71,6.444,433.3,225.9,2021-03-25,19:02:31
72,11.179,57.73,221.01,2021-03-25,19:02:46
73,10.438,456.81,202.25,2021-03-25,19:03:06
74,6.197,64.66,217.79,2021-03-25,19:03:21
75,8.636,75.59,204.36,2021-03-25,19:03:39
76,7.565,535.97,236.11,2021-03-25,19:03:58
77,5.864,84.79,205.48,2021-03-25,19:04:11
78,8.788,78.25,218.73,2021-03-25,19:04:30
79,10.148,73.29,204.05,2021-03-25,19:04:48
80,11.926,545.63,228.72,2021-03-25,19:05:06
81,8.655,82.42,222.55,2021-03-25,19:05:21
82,10.373,74.51,200.63,2021-03-25,19:05:39
83,10.97,549.63,205.91,2021-03-25,19:05:58
84,6.452,75.65,216.58,2021-03-25,19:06:12
85,8.728,481.63,227.25,2021-03-25,19:06:30
86,8.835,515.37,194.8,2021-03-25,19:06:44
87,10.201,520.26,209.1,2021-03-25,19:06:59
88,8.581,71.24,195.61,2021-03-25,19:07:14
89,9.273,554.63,226.44,2021-03-25,19:07:32
90,9.938,75.97,229.93,2021-03-25,19:07:46
91,8.655,557.64,228.95,2021-03-25,19:08:03
92,9.324,83.42,214.39,2021-03-25,19:08:17
93,8.634,91.61,216.03,2021-03-25,19:08:35
94,10.094,87.84,211.56,2021-03-25,19:08:53
95,9.245,544.58,218.2,2021-03-25,19:09:12
96,7.634,537.15,207.07,2021-03-25,19:09:26
97,10.782,535.54,198.39,2021-03-25,19:09:40
98,8.681,85.96,211.79,2021-03-25,19:09:54
99,10.168,83.02,219.93,2021-03-25,19:10:13
100,7.296,88.54,193.98,2021-03-25,19:10:31
