,Time,Date,Upload (Mbit/s),Download (Mbit/s),Ping (ms)
0,13:36:25,2016-11-24,14.31,91.8,26.992
1,13:36:55,2016-11-24,14.12,88.19,24.532
2,13:37:25,2016-11-24,14.11,59.86,20.225
3,13:37:57,2016-11-24,14.22,91.81,19.332
4,13:38:27,2016-11-24,14.08,92.05,22.494
5,13:39:01,2016-11-24,14.18,91.88,17.586
6,13:39:30,2016-11-24,14.07,92.18,21.835
7,13:40:00,2016-11-24,14.13,92.05,20.464
8,13:40:30,2016-11-24,14.14,90.79,19.293
9,13:41:00,2016-11-24,14.07,92.64,20.354
10,13:41:30,2016-11-24,14.38,91.86,19.01
11,13:42:00,2016-11-24,14.23,92.24,18.092
12,13:42:30,2016-11-24,14.32,91.64,18.137
13,13:43:00,2016-11-24,14.2,92.85,18.344
14,13:43:29,2016-11-24,14.2,92.21,23.328
15,13:43:59,2016-11-24,11.36,92.24,17.908
16,13:44:31,2016-11-24,14.03,92.41,19.291
17,13:45:01,2016-11-24,14.17,90.39,20.117
18,13:45:32,2016-11-24,14.06,92.55,19.579
19,13:46:02,2016-11-24,13.71,78.51,16.364
20,13:46:34,2016-11-24,14.17,91.49,19.147
21,13:47:04,2016-11-24,14.16,91.46,19.342
22,13:47:34,2016-11-24,14.37,91.19,21.959
23,13:48:04,2016-11-24,13.87,91.64,19.951
24,13:48:36,2016-11-24,14.38,90.47,17.13
25,13:49:06,2016-11-24,14.19,91.9,19.822
26,13:49:35,2016-11-24,14.18,91.96,20.559
27,13:50:05,2016-11-24,14.23,92.24,16.649
28,13:50:35,2016-11-24,13.97,90.93,21.036
29,13:51:05,2016-11-24,14.28,92.36,22.457
30,13:51:35,2016-11-24,14.22,91.42,18.345
31,13:52:04,2016-11-24,14.14,91.36,22.255
32,13:52:34,2016-11-24,14.21,91.5,18.681
33,13:53:04,2016-11-24,14.03,92.04,17.665
34,13:53:34,2016-11-24,14.31,91.04,22.605
35,13:54:04,2016-11-24,14.12,92.07,17.445
36,13:54:34,2016-11-24,9.23,92.14,20.771
37,13:55:04,2016-11-24,13.97,92.3,18.916
38,13:55:37,2016-11-24,14.06,92.27,19.17
39,13:56:07,2016-11-24,10.73,91.89,19.197
40,13:56:40,2016-11-24,14.16,92.37,20.921
41,13:57:10,2016-11-24,14.35,91.98,18.565
42,13:57:39,2016-11-24,14.05,92.0,18.607
43,13:58:09,2016-11-24,14.3,91.14,17.826
44,13:58:40,2016-11-24,10.85,92.06,19.038
45,13:59:10,2016-11-24,14.28,90.45,19.712
46,13:59:40,2016-11-24,14.33,92.21,19.754
47,14:00:10,2016-11-24,7.4,88.81,22.427
48,14:00:41,2016-11-24,14.46,92.41,19.862
49,14:01:10,2016-11-24,14.25,92.25,18.858
50,14:01:40,2016-11-24,13.95,91.53,21.899
51,14:02:10,2016-11-24,13.7,91.09,19.482
52,14:02:40,2016-11-24,13.89,84.75,25.331
53,14:03:10,2016-11-24,14.23,92.42,19.632
54,14:03:40,2016-11-24,13.31,92.26,18.816
55,14:04:10,2016-11-24,14.06,92.0,20.994
56,14:04:40,2016-11-24,13.83,91.46,19.366
57,14:05:10,2016-11-24,14.09,90.88,18.014
58,14:05:40,2016-11-24,14.16,90.23,17.715
59,14:06:10,2016-11-24,14.18,91.82,20.273
